Question,Category,Tool,Module,Answer,Studied,Mastered
Remove a Docker image?,Command,Docker,7,docker rmi,,
Stop all running containers?,Command,Docker,7,docker stop $(docker ps -q),,
A benefit of Docker volumes?,Purpose,Docker,7,Allows persistent storage across container restarts,,
Remove all stopped containers?,Command,Docker,7,docker rm $(docker ps -aq),,
How to share a Docker image with others?,Method,Docker,7,Push the image to a container registry like DockerHub,,
Run a container in detached move?,Command,Docker,7,docker run -d,,
What does the CMD instruction do in a Dockerfile?,Configuration,Docker,7,Sets the default command that runs when the container starts,,
What happens when you run: docker stop?,Conceptual,Docker,7,"The container is stopped, but its data is retained",,
Difference between Docker image and container?,Conceptual,Docker,7,"An image is a read-only blueprint, while a container is a running instance of that image",,
Lists all running containers?,Command,Docker,7,docker ps,,
The purpose of using GitHub Actions in the FastAPI project?,Purpose,GitHub,8,To automate testing and deployment workflows,,
The purpose of the @app.get('/') decorator in FastAPI?,Purpose,FastAPI,8,It defines an API endpoint that responds to GET requests at the root URL,,
The role of Playwright in testing web applications?,Purpose,Playwright,8,It automates browser interactions for end-to-end testing,,
What is a web application?,Conceptual,Web App,8,A software program that runs on a web server and is accessed through a browser,,
The primary function of JavaScript in a web application?,Purpose,Web App,8,Adding interactivity and handling events on web pages,,
What is a REST API?,Definition,REST API,8,A set of guidelines for designing web services that use HTTP requests,,
To install Playwright for browser automation testing?,Command,Playwright,8,pip install playwright,,
An endpoint in a REST API?,Definition,REST API,8,A URL where clients can send requests to access resources,,
What is Pytest?,Definition,Pytest,8,A widely used testing framework for writing tests in Python,,
Which HTTP method is used to retrieve data from a REST API?,Command,REST API,8,GET,,
Statement to delete child records when the parent record is deleted?,Command,SQL,9,ON DELETE CASCADE,,
Statement to update a record in a PostgreSQL table?,Command,SQL,9,UPDATE,,
Purpose of the TIMESTAMP data type in PostgreSQL?,Purpose,SQL,9,To store date and time values,,
PostgreSQL function to return current date and time?,Command,SQL,9,NOW(),,
Retrieve data from a table?,Command,SQL,9,SELECT,,
Retrieve all records from the calculations table where the operation is 'add'?,Command,SQL,9,SELECT * FROM calculations WHERE operation = 'add';,,
Safely update all records in a PostgreSQL table?,Command,SQL,9,UPDATE table_name SET column_name = new_value WHERE condition;,,
Tool in this module to visually inspect and execute SQL queries on a database?,Purpose,SQL,9,pgAdmin,,
Start all services defined in a docker-compose.yml file?,Command,Docker,9,docker compose up,,
Purpose of the FOREIGN KEY constraint in SQL?,Purpose,SQL,9,Establishes a link between two tables,,
Purpose of using a Postgre SQL test container in GitHub Actions?,Purpose,GitHub,10,To provide a real database for integration testing during CI/CD execution,,
"In a CI/CD pipeline, what is the purpose of running tests in GitHub Actions?",Purpose,GitHub,10,To automate the testing process and catch regressions early,,
